Uttar Pradesh - 220,928,890
Maharashtra - 123,820,000
Bihar - 118,014,000
West Bengal - 97,696,000
Andhra Pradesh - 85,752,000
Madhya Pradesh - 75,686,000
Tamil Nadu - 72,147,000
Rajasthan - 72,205,000
Karnataka - 61,130,000
Gujarat - 60,383,628
Odisha - 41,947,358
Telangana - 35,193,978
Kerala - 33,406,061
Jharkhand - 33,067,884
Assam - 31,169,272
Haryana - 25,351,462
Punjab - 27,743,338
Chhattisgarh - 25,540,196
Uttarakhand - 10,116,752
Himachal Pradesh - 7,000,000
Jammu and Kashmir - 12,541,302
Tripura - 3767,000
Meghalaya - 2964000
Manipur - 2966000
Nagaland - 1980602
Goa - 1,458,545
Arunachal Pradesh - 1383727
Mizoram - 1097206
Sikkim - 607,688
Delhi - 16,787,941
